Document,Topic,Weight
1276,1,0.8691382
1277,1,0.8960842
1278,1,0.89768416
1279,1,0.794122
1280,0,0.87419003
1281,1,0.75484234
1282,0,0.8776108
1283,1,0.71869427
1284,1,0.87793225
1285,1,0.877331
1286,0,0.8599109
1287,0,0.52922255
1288,0,0.89473766
1289,0,0.65115947
1290,0,0.8855935
1291,1,0.8989523
1292,1,0.78163826
1293,0,0.9378519
1294,0,0.9285355
1295,2,0.5006115
1296,0,0.56874824
1297,0,0.48655662
1298,1,0.54828644
1299,1,0.55363095
1300,1,0.92075145
1301,3,0.52172714
1302,1,0.9107344
1303,1,0.9229057
1304,2,0.72832733
1305,0,0.7120958
1306,1,0.91910434
1307,0,0.8932615
1308,0,0.72333133
1309,2,0.9072337
1310,1,0.91124004
1311,3,0.52201843
1312,2,0.8651305
1313,1,0.8118124
1314,2,0.9277877
1315,3,0.5996855
1316,0,0.3789355
1317,1,0.91909826
1318,0,0.73563457
1319,1,0.91234905
1320,0,0.90650547
1321,0,0.48024884
1322,0,0.877788
1323,1,0.8369416
1324,0,0.8584472
1325,3,0.8533615
1326,0,0.827021
1327,1,0.84592277
1328,0,0.93117404
1329,0,0.6002238
1330,1,0.56014556
1331,2,0.4853439
1332,2,0.8712974
1333,1,0.9073879
1334,0,0.867881
1335,1,0.85670805
1336,0,0.9025088
1337,1,0.89201915
1338,0,0.79124135
1339,3,0.6828084
1340,0,0.90196306
1341,0,0.85292006
1342,0,0.48926416
1343,2,0.873926
1344,0,0.8883574
1345,0,0.80377406
1346,3,0.7956494
1347,0,0.7151989
1348,2,0.45395833
1349,2,0.5645847
1350,1,0.6433455
1351,1,0.53927094
1352,1,0.54758143
1353,0,0.93535835
1354,0,0.54932976
1355,0,0.91578674
1356,0,0.8091566
1357,1,0.84618115
1358,0,0.7471554
1359,0,0.58830196
1360,0,0.822116
1361,0,0.911504
1362,0,0.7471618
1363,2,0.886635
